Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Season
Jules-Anthony Vilsaint,877417,€500k,"Jun 5, 2025","Jan 6, 2003",22,1.88,Canada,,Centre-Forward,,Montréal,,,"Feb 11, 2023","Dec 31, 2025",2020-2021
Cisse Sandra,632088,€1.00m,"May 28, 2025","Dec 16, 2003",21,1.84,Belgium,,Attacking Midfield,,Club Brugge,,,"Jan 15, 2021","Jun 30, 2027",2020-2021
Thomas Van den Keybus,502298,€800k,"Jun 12, 2025","Apr 25, 2001",24,1.8,Belgium,,Central Midfield,,KVC Westerlo,,,"Jul 5, 2023","Jun 30, 2026",2020-2021
Majeed Ashimeru,360140,€1.50m,"Jun 12, 2025","Oct 10, 1997",27,1.74,Ghana,Ghana,Central Midfield,"Attacking Midfield, Defensive Midfield",RSC Anderlecht,,,"Jul 1, 2021","Jun 30, 2027",2020-2021
Dino Arslanagic,110660,€250k,"Jun 25, 2025","Apr 24, 1993",32,1.91,Belgium,,Centre-Back,,Manisa FK,,,"Jan 24, 2025","Jun 30, 2026",2020-2021
Killian Sardella,454336,€5.00m,"Jun 12, 2025","May 2, 2002",23,1.74,Belgium,,Right-Back,,RSC Anderlecht,,,"Jul 1, 2019","Jun 30, 2028",2020-2021
Ignace Van der Brempt,490423,€4.00m,"Jun 17, 2025","Apr 1, 2002",23,1.87,Belgium,,Right-Back,,Como,,,"Jul 1, 2025","Jun 30, 2028",2020-2021
Stefano Denswil,182923,€1.50m,"Apr 4, 2025","May 7, 1993",32,1.88,Suriname,"Suriname, Netherlands",Centre-Back,Left-Back,Without Club,Trabzonspor,"Feb 18, 2025",,,2020-2021
Gerardo Arteaga,469718,€3.50m,"May 26, 2025","Sep 7, 1998",26,1.75,Mexico,,Left-Back,,Monterrey,,,"Jan 29, 2024","Dec 31, 2027",2020-2021
Mousa Tamari,551505,€6.00m,"Jun 3, 2025","Jun 10, 1997",28,1.78,Jordan,,Right Winger,,Stade Rennais,,,"Feb 3, 2025","Jun 30, 2028",2020-2021
Anouar Ait El Hadj,486039,€3.00m,"Jun 12, 2025","Apr 20, 2002",23,1.67,Belgium,,Attacking Midfield,,Union SG,,,"Jul 13, 2024","Jun 30, 2028",2020-2021
Thomas Didillon-Hödl,182891,€900k,"May 28, 2025","Nov 28, 1995",29,1.93,France,,Goalkeeper,,Willem II,,,"Jul 1, 2024","Jun 30, 2026",2020-2021
Bruno Godeau,142924,€400k,"Jun 12, 2025","May 10, 1992",33,1.9,Belgium,,Centre-Back,,Without Club,Sint-Truiden,"Jul 1, 2025",,,2020-2021
Guillaume Gillet,31952,,,"Mar 9, 1984",41,1.86,Belgium,,Defensive Midfield,,Retired,Waasland-Beveren,"Jul 1, 2022",,,2020-2021
Peter Zulj,128105,€500k,"May 2, 2025","Jun 9, 1993",32,1.85,Austria,,Central Midfield,,Buriram Utd.,,,"Jan 8, 2025","Jun 30, 2026",2020-2021
Daan Heymans,446491,€3.00m,"Jun 12, 2025","Jun 15, 1999",26,1.91,Belgium,,Attacking Midfield,,KRC Genk,,,"Jul 1, 2025","Jun 30, 2029",2020-2021
Igor Plastun,97335,€250k,"Apr 24, 2025","Aug 20, 1990",34,1.93,Ukraine,,Centre-Back,,KAS Eupen,,,"Feb 5, 2025","Jun 30, 2026",2020-2021
Miguel Vieira,214300,,,"Oct 8, 1990",34,1.9,Portugal,,Centre-Back,,Retired,Basaksehir,"Feb 7, 2022",,,2020-2021
Duje Cop,46415,€100k,"Jun 9, 2025","Feb 1, 1990",35,1.84,Croatia,,Centre-Forward,,HNK Rijeka,,,"Jan 28, 2025","Jun 30, 2027",2020-2021
Elisha Owusu,395695,€3.00m,"Jun 3, 2025","Nov 7, 1997",27,1.82,Ghana,"France, Ghana",Defensive Midfield,Central Midfield,AJ Auxerre,,,"Jan 16, 2023","Jun 30, 2027",2020-2021
Joris Kayembe,129586,€3.00m,"Jun 12, 2025","Aug 8, 1994",30,1.8,DR Congo,,Left-Back,,KRC Genk,,,"Jul 1, 2023","Jun 30, 2026",2020-2021
Mats Rits,92164,€1.80m,"Jun 12, 2025","Jul 18, 1993",31,1.78,Belgium,Belgium,Defensive Midfield,Central Midfield,RSC Anderlecht,,,"Aug 15, 2023","Jun 30, 2026",2020-2021
Christophe Diandy,105352,,,"Nov 25, 1990",34,1.86,Senegal,Senegal,Defensive Midfield,"Left-Back, Left Midfield",Retired,Tertre Hautrage,"Jan 1, 2025",,,2020-2021
Júnior Pius,314969,€250k,"Jun 23, 2025","Dec 20, 1995",29,1.93,Nigeria,,Centre-Back,,M. Bnei Reineh,,,"Jul 1, 2025",-,2020-2021
Benjamin Nygren,475949,€6.00m,"Jun 16, 2025","Jul 8, 2001",24,1.88,Sweden,Sweden,Right Winger,"Left Winger, Central Midfield",Celtic,,,"Jul 1, 2025","Jun 30, 2029",2020-2021
Mo Dauda,360711,€300k,"Jun 25, 2025","Feb 20, 1998",27,1.74,Ghana,,Left Winger,,CD Tenerife,,,"Jul 1, 2023","Jun 30, 2026",2020-2021
Cristian Benavente,232859,€250k,"Jun 10, 2025","May 19, 1994",31,1.72,Peru,,Attacking Midfield,,FC Buzău,,,"Feb 12, 2025","Jun 30, 2025",2020-2021
Danny Vukovic,43113,,,"Mar 27, 1985",40,1.87,Australia,,Goalkeeper,,Retired,Central Coast,"Jul 1, 2024",,,2020-2021
René Vanden Borre,671666,,,"Jan 19, 2004",21,1.91,Belgium,Belgium,Goalkeeper,,Jong KAA Gent,,,"Jan 1, 2022","Jun 30, 2026",2020-2021
Anthony Descotte,565434,€650k,"May 28, 2025","Aug 3, 2003",21,1.8,Belgium,Belgium,Centre-Forward,Right Winger,R Charleroi SC,,,"Jul 1, 2021","Jun 30, 2026",2020-2021
Owen Jochmans,559161,€150k,"Jun 12, 2025","Jan 28, 2003",22,1.85,Belgium,Belgium,Goalkeeper,,OH Leuven,,,"Jul 1, 2024","Jun 30, 2026",2020-2021
Jérémy Landu,541019,,,"Jan 2, 2002",23,1.78,Belgium,"Belgium, DR Congo",Defensive Midfield,"Centre-Back, Right-Back",RFC Seraing U23,,,"Jul 1, 2024","Jun 30, 2025",2020-2021
Vladimir Van De Wiel,409841,,,"Apr 12, 2000",25,1.82,Belgium,Belgium,Central Midfield,"Centre-Back, Right-Back",Without Club,KSV Oudenaarde,"Jul 1, 2024",,,2020-2021
Fostave Mabani,570722,€250k,"Apr 24, 2025","Apr 10, 2002",23,1.73,Belgium,"DR Congo, Belgium",Left-Back,"Right-Back, Left Midfield",Without Club,Francs Borains,"Jul 1, 2025",,,2020-2021
Michael Frey,147043,€800k,"May 27, 2025","Jul 19, 1994",30,1.88,Switzerland,Switzerland,Centre-Forward,Second Striker,QPR,,,"Jan 28, 2024","Jun 30, 2026",2021-2022
Elisha Owusu,395695,€3.00m,"Jun 3, 2025","Nov 7, 1997",27,1.82,Ghana,,Defensive Midfield,,AJ Auxerre,,,"Jan 16, 2023","Jun 30, 2027",2021-2022
Jack Hendry,363223,€2.50m,"May 27, 2025","May 7, 1995",30,1.92,Scotland,,Centre-Back,,Al-Ettifaq,,,"Jul 26, 2023","Jun 30, 2026",2021-2022
Marius Noubissi,357701,€500k,"Jun 12, 2025","Nov 28, 1996",28,1.8,Cameroon,,Centre-Forward,,Pyunik Yerevan,,,"Jul 2, 2025",-,2021-2022
Ayrton Mboko,285998,,,"Oct 23, 1997",27,1.8,Belgium,,Right-Back,,AS Vita Club,,,"Jul 1, 2024",-,2021-2022
Darko Lemajic,153440,€500k,"Jun 13, 2025","Aug 20, 1993",31,1.99,Serbia,"Serbia, Yugoslavia (Republic), Montenegro",Centre-Forward,,RFS,,,"Jul 1, 2023",-,2021-2022
Jason Dalle Molle,1015995,,,"Apr 27, 2005",20,,Belgium,Belgium,Centre-Back,Right-Back,Francs Borains,,,"Jul 1, 2025",-,2021-2022
Amine Benchaib,503855,€400k,"Jun 13, 2025","Jun 18, 1998",27,1.81,Belgium,,Attacking Midfield,,Kauno Žalgiris,,,"Jan 7, 2025","Dec 31, 2025",2021-2022
Antoine Lejoly,289583,€250k,"Apr 24, 2025","Mar 26, 1998",27,1.87,Belgium,Belgium,Goalkeeper,,RFC Lüttich,,,"Aug 3, 2022","Jun 30, 2025",2021-2022
Thierry Ambrose,265763,€900k,"Jun 12, 2025","Mar 28, 1997",28,1.78,Guadeloupe,,Centre-Forward,,KV Kortrijk,,,"Aug 15, 2023","Jun 30, 2027",2021-2022
Alessandro Albanese,407347,€200k,"Apr 24, 2025","Jan 12, 2000",25,1.74,Belgium,,Left Winger,,RFC Lüttich,,,"Jan 24, 2025","Jun 30, 2025",2021-2022
Bryan Heynen,356081,€11.00m,"Jun 12, 2025","Feb 6, 1997",28,1.83,Belgium,Belgium,Central Midfield,Defensive Midfield,KRC Genk,,,"Jul 1, 2015","Jun 30, 2029",2021-2022
Siebe Wylin,583920,€400k,"Apr 24, 2025","May 27, 2003",22,1.8,Belgium,Belgium,Right-Back,"Right Midfield, Centre-Back",Club NXT,,,"Jul 1, 2024","Jun 30, 2026",2021-2022
Mike Trésor,381963,€5.00m,"May 27, 2025","May 28, 1999",26,1.72,Belgium,"Burundi, Belgium",Left Winger,"Attacking Midfield, Right Winger",Burnley,,,"Jul 1, 2024","Jun 30, 2028",2021-2022
Koki Machida,415035,€11.00m,"Jun 12, 2025","Aug 25, 1997",27,1.9,Japan,Japan,Centre-Back,,TSG Hoffenheim,,,"Jul 1, 2025",-,2021-2022
Pedro Lubamba,786829,,,"Sep 14, 2002",22,1.67,Angola,"Angola, Spain",Left Winger,"Second Striker, Right Winger",Without Club,Union SG U23,"Jul 1, 2024",,,2021-2022
Konstantinos Laifis,121570,€1.00m,"May 29, 2025","May 19, 1993",32,1.86,Cyprus,,Centre-Back,,APOEL Nicosia,,,"Aug 13, 2024","May 31, 2027",2021-2022
Maxime Lestienne,96454,€700k,"Jun 4, 2025","Jun 17, 1992",33,1.76,Belgium,Belgium,Right Winger,"Left Winger, Centre-Forward",LC Sailors,,,"Jan 31, 2022","Dec 31, 2025",2021-2022
Alfons Amade,296340,€400k,"Jun 2, 2025","Nov 12, 1999",25,1.72,Mozambique,,Defensive Midfield,,Dunfermline A.,,,"Jul 4, 2025","May 31, 2027",2021-2022
Mike Vanhamel,42178,,,"Nov 16, 1989",35,1.89,Belgium,Belgium,Goalkeeper,,Without Club,KVK Tienen,"Jul 1, 2025",,,2021-2022
Noah Mbamba,743395,€1.50m,"Jun 12, 2025","Jan 5, 2005",20,1.96,Belgium,Belgium,Central Midfield,"Attacking Midfield, Defensive Midfield",FCV Dender EH,,,"Feb 3, 2025","Jun 30, 2026",2021-2022
Christian Burgess,244221,€2.20m,"Jun 12, 2025","Oct 7, 1991",33,1.96,England,England,Centre-Back,,Union SG,,,"Jul 7, 2020","Jun 30, 2026",2021-2022
Maxim De Cuyper,429915,€16.00m,"Jun 12, 2025","Dec 22, 2000",24,1.82,Belgium,,Left-Back,,Brighton,,,"Jul 5, 2025","Jun 30, 2030",2021-2022
Vincent Koziello,290551,,,"Oct 28, 1995",29,1.68,France,,Central Midfield,,Without Club,RayZRs,"Jul 1, 2025",,,2021-2022
Jules Van Cleemput,384280,,,"Apr 11, 1997",28,1.81,Belgium,,Right-Back,,Retired,KV Mechelen,"Feb 28, 2025",,,2021-2022
Isaac Mbenza,260806,€800k,"Jun 12, 2025","Mar 8, 1996",29,1.88,Belgium,,Right Winger,,R Charleroi SC,,,"Mar 14, 2022","Jun 30, 2026",2021-2022
Emanuel Emegha,559328,€25.00m,"Jun 3, 2025","Feb 3, 2003",22,1.96,Netherlands,,Centre-Forward,,R. Strasbourg,,,"Jul 22, 2023","Jun 30, 2028",2021-2022
Jordy Schelfhout,688245,,,"Jan 19, 2001",24,1.84,Belgium,,Goalkeeper,,KRC Harelbeke,,,"Jul 1, 2025","Jun 30, 2026",2021-2022
Mehdi Carcela-González,42714,,,"Jul 1, 1989",36,1.79,Morocco,"Belgium, Morocco",Right Winger,"Left Winger, Attacking Midfield",Retired,Standard Liège,"Jan 1, 2024",,,2021-2022
Anouar Ait El Hadj,486039,€3.00m,"Jun 12, 2025","Apr 20, 2002",23,1.67,Belgium,"Belgium, Morocco",Attacking Midfield,"Second Striker, Left Winger",Union SG,,,"Jul 13, 2024","Jun 30, 2028",2021-2022
Radja Nainggolan,41982,€300k,"Apr 24, 2025","May 4, 1988",37,1.77,Belgium,Belgium,Central Midfield,"Defensive Midfield, Attacking Midfield",KSC Lokeren,,,"Jan 22, 2025","Jun 30, 2026",2021-2022
Yonas Malede,211845,€250k,"Jun 13, 2025","Nov 14, 1999",25,1.88,Israel,"Israel, Ethiopia",Centre-Forward,"Left Winger, Right Winger",M. Tel Aviv,,,"Jan 31, 2024","Jun 30, 2027",2021-2022
Núrio Fortuna,290261,€600k,"Jun 2, 2025","Mar 24, 1995",30,1.77,Angola,"Angola, Portugal",Left-Back,"Centre-Back, Left Midfield",Volos NPS,,,"Jul 1, 2025","Jun 30, 2026",2021-2022
Abdoulie Sanyang,693906,€700k,"Jun 9, 2025","May 8, 1999",26,1.73,The Gambia,,Right Winger,,Hajduk Split,,,"Jul 18, 2024","Jun 30, 2027",2021-2022
Davy Roef,140808,€2.50m,"Jun 12, 2025","Feb 6, 1994",31,1.87,Belgium,,Goalkeeper,,KAA Gent,,,"Jul 1, 2020","Jun 30, 2029",2021-2022
Gaëtan Hendrickx,161658,€450k,"Apr 24, 2025","Mar 30, 1995",30,1.75,Belgium,,Central Midfield,,KAS Eupen,,,"Feb 5, 2025","Jun 30, 2027",2021-2022
Mujaid Sadick,497663,€8.00m,"Jun 12, 2025","Mar 14, 2000",25,1.85,Spain,,Centre-Back,,KRC Genk,,,"Jul 1, 2021","Jun 30, 2028",2021-2022
Renaud Emond,168471,,,"Dec 5, 1991",33,1.85,Belgium,,Centre-Forward,,Retired,KAS Eupen,"Jul 1, 2025",,,2021-2022
Kamal Sowah,564489,€800k,"May 28, 2025","Jan 9, 2000",25,1.79,Ghana,,Right Winger,,NAC Breda,,,"Feb 3, 2025","Jun 30, 2027",2021-2022
Casper Nielsen,148365,€2.50m,"Jun 12, 2025","Apr 29, 1994",31,1.82,Denmark,,Central Midfield,,Standard Liège,,,"Jul 2, 2025","Jun 30, 2028",2021-2022
Antoine Colassin,440953,€750k,"Jun 12, 2025","Feb 26, 2001",24,1.86,Belgium,,Centre-Forward,,R Charleroi SC,,,"Jul 8, 2025","Jun 30, 2028",2021-2022
Pierre Dwomoh,652803,€2.20m,"May 27, 2025","Jun 21, 2004",21,1.88,Belgium,"Belgium, Ghana",Central Midfield,"Defensive Midfield, Attacking Midfield",Watford,,,"Aug 26, 2024","Jun 30, 2028",2021-2022
Arnaud Bodart,417278,€2.50m,"Jun 2, 2025","Mar 11, 1998",27,1.86,Belgium,Belgium,Goalkeeper,,LOSC Lille,,,"Jul 1, 2025","Jun 30, 2027",2021-2022
Tajon Buchanan,638793,€6.00m,"Jun 9, 2025","Feb 8, 1999",26,1.83,Canada,"Canada, Jamaica",Right Midfield,"Right Winger, Left Midfield",Inter,,,"Jan 5, 2024","Jun 30, 2028",2021-2022
Zeno Van Den Bosch,738774,€10.00m,"Jun 12, 2025","Jul 6, 2003",22,1.91,Belgium,Belgium,Centre-Back,,Royal Antwerp,,,"Jul 1, 2022","Jun 30, 2026",2021-2022
Jhon Lucumí,413565,€22.00m,"Jun 17, 2025","Jun 26, 1998",27,1.87,Colombia,,Centre-Back,,Bologna,,,"Aug 18, 2022","Jun 30, 2026",2021-2022
Kristian Arnstad,581106,€2.50m,"Jun 16, 2025","Sep 7, 2003",21,1.75,Norway,Norway,Central Midfield,"Defensive Midfield, Attacking Midfield",Aarhus GF,,,"Aug 31, 2024","Jun 30, 2029",2021-2022
William Balikwisha,381968,€1.20m,"Jun 12, 2025","May 12, 1999",26,1.73,DR Congo,,Attacking Midfield,,OH Leuven,,,"Jul 20, 2024","Jun 30, 2028",2021-2022
Bruno Godeau,142924,€400k,"Jun 12, 2025","May 10, 1992",33,1.9,Belgium,,Centre-Back,,Without Club,Sint-Truiden,"Jul 1, 2025",,,2021-2022
Ortwin De Wolf,450218,€1.50m,"Jun 12, 2025","Apr 23, 1997",28,1.9,Belgium,,Goalkeeper,,KV Mechelen,,,"Jul 1, 2024","Jun 30, 2027",2021-2022
Abdoul Tapsoba,640735,€500k,"Jun 6, 2025","Aug 23, 2001",23,1.8,Burkina Faso,Burkina Faso,Attacking Midfield,"Centre-Forward, Right Winger",Radomiak,,,"Jan 29, 2025","Jun 30, 2027",2021-2022
Teddy Teuma,409153,€3.00m,"Jun 3, 2025","Sep 30, 1993",31,1.76,Malta,,Central Midfield,,Stade Reims,,,"Jul 7, 2023","Jun 30, 2027",2021-2022
Ben Karamoko,290549,€50k,"Apr 4, 2025","May 17, 1995",30,1.95,Cote d'Ivoire,,Centre-Back,,Without Club,Spartak Varna,"Jul 1, 2023",,,2021-2022
Iké Ugbo,339943,€2.20m,"May 27, 2025","Sep 21, 1998",26,1.84,Canada,,Centre-Forward,,Sheff Wed,,,"Aug 8, 2024","Jun 30, 2028",2021-2022
Merveille Bokadi,368612,€1.20m,"Apr 4, 2025","May 21, 1996",29,1.86,DR Congo,"Zaire, DR Congo",Centre-Back,"Defensive Midfield, Central Midfield",Without Club,Standard Liège,"Jul 1, 2024",,,2021-2022
Frédéric Frans,46715,,,"Jan 3, 1989",36,1.93,Belgium,,Centre-Back,,Retired,Beerschot VA,"Jul 1, 2023",,,2021-2022
Hamza Rafia,418571,€1.40m,"Jun 17, 2025","Apr 2, 1999",26,1.81,Tunisia,"Tunisia, France",Central Midfield,"Attacking Midfield, Right Winger",Lecce,,,"Jul 18, 2023","Jun 30, 2026",2021-2022
Célestin De Schrevel,707804,€100k,"Jun 12, 2025","Apr 2, 2002",23,1.87,Belgium,Belgium,Goalkeeper,,La Louvière,,,"Jul 1, 2025","Jun 30, 2028",2021-2022
Alhassan Yusuf,600481,€3.00m,"Jun 5, 2025","Jul 18, 2000",24,1.73,Nigeria,,Central Midfield,,New England,,,"Aug 12, 2024","Dec 31, 2027",2021-2022
Louis Fortin,706859,€150k,"Jun 12, 2025","Jan 12, 2002",23,1.93,Belgium,,Goalkeeper,,Without Club,KAA Gent,"Jul 1, 2025",,,2021-2022
Federico Ricca,285322,€1.30m,"Jun 12, 2025","Dec 1, 1994",30,1.79,Uruguay,,Centre-Back,,Belgrano,,,"Jul 6, 2025","Dec 31, 2026",2021-2022
Tom Pietermaat,110797,€150k,"Apr 24, 2025","Sep 6, 1992",32,1.74,Belgium,Belgium,Defensive Midfield,"Central Midfield, Right Midfield",KFC Houtvenne,,,"Jul 1, 2025","Jun 30, 2026",2021-2022
Cisse Sandra,632088,€1.00m,"May 28, 2025","Dec 16, 2003",21,1.84,Belgium,,Attacking Midfield,,Club Brugge,,,"Jan 15, 2021","Jun 30, 2027",2021-2022
Stipe Radic,371002,€900k,"Jun 16, 2025","Jun 10, 2000",25,1.9,Croatia,,Centre-Back,,Viborg FF,,,"Jan 31, 2024","Jun 30, 2027",2021-2022
Thijs Coninckx,939796,,,"Oct 27, 2003",21,,Belgium,Belgium,Defensive Midfield,Central Midfield,KM Torhout,,,"Jul 1, 2025","Jun 30, 2026",2021-2022
Issa Soumaré,568698,€2.00m,"Jun 3, 2025","Oct 10, 2000",24,1.82,Senegal,"Senegal, Mauritania",Left Winger,"Right Winger, Centre-Forward",Le Havre AC,,,"Jul 4, 2023","Jun 30, 2026",2021-2022
Aboubakar Keita,294807,€350k,"May 28, 2025","Nov 5, 1997",27,1.88,Cote d'Ivoire,,Defensive Midfield,,Nyíregyháza,,,"Sep 1, 2024","Jun 30, 2026",2021-2022
Tibo Herbots,499606,,,"May 7, 2001",24,1.87,Belgium,Belgium,Goalkeeper,,ASV Geel,,,"Jul 1, 2025","Jun 30, 2026",2021-2022
Maxime D'Arpino,346290,€150k,"May 26, 2025","Jun 17, 1996",29,1.75,France,,Central Midfield,,US Orléans,,,"Jul 15, 2024","Jun 30, 2026",2021-2022
Hannes Delcroix,338635,€3.50m,"May 27, 2025","Feb 28, 1999",26,1.83,Belgium,,Centre-Back,,Burnley,,,"Aug 22, 2023",-,2021-2022
Matthieu Epolo,680218,€4.00m,"Jun 12, 2025","Jan 15, 2005",20,1.89,Belgium,"DR Congo, Belgium",Goalkeeper,,Standard Liège,,,"Jul 1, 2021","Jun 30, 2027",2021-2022
Guillaume Hubert,129585,€250k,"Apr 24, 2025","Jan 11, 1994",31,1.98,Belgium,,Goalkeeper,,RWDM Brussels,,,"Jul 1, 2023","Jun 30, 2026",2021-2022
Moussa Sissako,536475,€200k,"Jun 2, 2025","Nov 10, 2000",24,1.88,Mali,"Mali, France",Centre-Back,,IMT Belgrad,,,"Jul 1, 2025","Jun 30, 2027",2021-2022
Mustapha Bundu,457728,€1.00m,"May 27, 2025","Feb 28, 1997",28,1.89,Sierra Leone,,Right Winger,,Hannover 96,,,"Jul 1, 2025","Jun 30, 2028",2021-2022
Kacper Kozlowski,554284,€4.20m,"Jun 18, 2025","Oct 16, 2003",21,1.82,Poland,,Attacking Midfield,,Gaziantep FK,,,"Jul 19, 2024","Jun 30, 2027",2021-2022
Kaoru Mitoma,504849,€40.00m,"May 30, 2025","May 20, 1997",28,1.78,Japan,,Left Winger,,Brighton,,,"Aug 10, 2021","Jun 30, 2027",2021-2022
Joren Dom,80442,,,"Nov 29, 1989",35,1.78,Belgium,Belgium,Defensive Midfield,"Right-Back, Right Midfield",Retired,RSCA Futures,"Jul 1, 2025",,,2021-2022
Brecht Capon,42703,,,"Apr 22, 1988",37,1.79,Belgium,,Right-Back,,Retired,KV Oostende,"Jul 1, 2023",,,2021-2022
Matej Mitrovic,206734,€700k,"May 28, 2025","Nov 10, 1993",31,1.87,Croatia,Croatia,Centre-Back,Defensive Midfield,Al-Ahli SC,,,"Jul 6, 2024","Jun 30, 2025",2021-2022
Samuel Bastien,289510,€650k,"May 28, 2025","Sep 26, 1996",28,1.75,DR Congo,"DR Congo, Belgium",Central Midfield,"Defensive Midfield, Attacking Midfield",Fortuna Sittard,,,"Aug 8, 2024","Jun 30, 2027",2021-2022
Mark McKenzie,429259,€6.00m,"Jun 3, 2025","Feb 25, 1999",26,1.84,United States,"United States, Jamaica",Centre-Back,,Toulouse,,,"Aug 16, 2024","Jun 30, 2027",2021-2022
Mamadou Fall,289713,€800k,"Jun 18, 2025","Dec 31, 1991",33,1.84,Senegal,Senegal,Right Winger,"Centre-Forward, Left Winger",Kasimpasa,,,"Jan 12, 2022","Jun 30, 2027",2021-2022
Mehdi Boukamir,860048,€500k,"May 29, 2025","Jan 26, 2004",21,1.88,Morocco,,Centre-Back,,R Charleroi SC,,,"Jul 1, 2022","Jun 30, 2025",2021-2022
Andrew Hjulsager,167798,€600k,"Jun 12, 2025","Jan 15, 1995",30,1.75,Denmark,,Attacking Midfield,,Vejle BK,,,"Jul 1, 2025","Jun 30, 2028",2021-2022
Niels Nkounkou,591193,€3.50m,"Jun 5, 2025","Nov 1, 2000",24,1.8,France,,Left-Back,,E. Frankfurt,,,"Sep 1, 2023","Jun 30, 2028",2021-2022
Ryan Sanusi,202380,€300k,"Jun 12, 2025","Jan 5, 1992",33,1.81,Belgium,,Defensive Midfield,,Beerschot VA,,,"Jul 1, 2019","Jun 30, 2026",2021-2022
Simon Mignolet,50219,€1.20m,"Jun 12, 2025","Mar 6, 1988",37,1.93,Belgium,,Goalkeeper,,Club Brugge,,,"Aug 5, 2019","Jun 30, 2026",2021-2022
Joseph Okumu,453376,€7.00m,"Jun 3, 2025","May 26, 1997",28,1.9,Kenya,,Centre-Back,,Stade Reims,,,"Jul 22, 2023","Jun 30, 2028",2021-2022
Christopher Operi,469976,€3.80m,"Jun 18, 2025","Apr 29, 1997",28,1.83,Cote d'Ivoire,"France, Cote d'Ivoire",Left-Back,"Left Midfield, Left Winger",Basaksehir,,,"Jan 13, 2025","Jun 30, 2027",2021-2022
Noë Dussenne,160736,€400k,"Jun 10, 2025","Apr 7, 1992",33,1.92,Belgium,Belgium,Centre-Back,Right-Back,Lausanne-Sport,,,"Jul 1, 2023","Jun 30, 2026",2021-2022
Lazare Amani,435808,€3.00m,"Jun 12, 2025","Mar 7, 1998",27,1.72,Cote d'Ivoire,"Belgium, Cote d'Ivoire",Central Midfield,"Attacking Midfield, Defensive Midfield",Union SG,,,"Jul 1, 2022","Jun 30, 2027",2021-2022
Mauricio Lemos,303140,€2.50m,"Jun 6, 2025","Dec 28, 1995",29,1.87,Uruguay,Uruguay,Centre-Back,,Vasco da Gama,,,"Jan 15, 2025","Dec 31, 2025",2021-2022
Carel Eiting,315128,€1.60m,"May 28, 2025","Feb 11, 1998",27,1.79,Netherlands,,Central Midfield,,Twente FC,,,"Sep 1, 2023","Jun 30, 2026",2021-2022
Robbe Quirynen,660319,,,"Nov 3, 2001",23,1.84,Belgium,,Right-Back,,Royal Cappellen,,,"Jul 1, 2025","Jun 30, 2027",2021-2022
Grégoire Guiot,690704,,,"Mar 5, 1997",28,,Belgium,Belgium,Attack,,CS Onhaye,,,"Jul 1, 2018","Jun 30, 2025",2021-2022
Nicolas Gavory,182816,€600k,"Jun 19, 2025","Feb 16, 1995",30,1.83,France,France,Left-Back,Left Midfield,Without Club,F. Düsseldorf,"Jul 1, 2025",,,2021-2022
Robbie D'Haese,460379,,,"Feb 25, 1999",26,1.8,Belgium,,Right Winger,,KVDO,,,"Feb 18, 2025","Jun 30, 2027",2021-2022
Pierre Bourdin,164902,,,"Jan 6, 1994",31,1.85,France,,Centre-Back,,US Avranches,,,"Jul 3, 2024","Jun 30, 2025",2021-2022
Ibrahima Cissé,684340,€350k,"Jun 19, 2025","Feb 15, 2001",24,1.96,Mali,,Centre-Back,,FC Schalke 04,,,"Jul 1, 2022","Jun 30, 2026",2021-2022
Ally Samatta,182201,€900k,"May 23, 2025","Dec 23, 1992",32,1.83,Tanzania,,Centre-Forward,,Without Club,PAOK Salonika,"Jul 1, 2025",,,2021-2022
Hervé Koffi,415383,€1.20m,"Jun 3, 2025","Oct 16, 1996",28,1.86,Burkina Faso,,Goalkeeper,,Angers SCO,,,"Jul 1, 2025","Jun 30, 2026",2021-2022
Marco Kana,486051,€700k,"Jun 12, 2025","Aug 8, 2002",22,1.82,Belgium,,Defensive Midfield,,RSC Anderlecht,,,"Jul 1, 2019","Jun 30, 2026",2021-2022
Denis Odoi,59641,€250k,"Jun 12, 2025","May 27, 1988",37,1.78,Ghana,"Belgium, Ghana",Right-Back,"Centre-Back, Defensive Midfield",Without Club,Royal Antwerp,"Jul 1, 2025",,,2021-2022
Soulaimane Berradi,975716,,,"Nov 20, 2004",20,1.76,Belgium,"Belgium, Morocco",Second Striker,,Union SG U23,,,-,"Jun 30, 2025",2021-2022
Matisse Samoise,705991,€2.50m,"Jun 12, 2025","Nov 21, 2001",23,1.8,Belgium,,Right Midfield,,KAA Gent,,,"Nov 30, 2020","Jun 30, 2028",2021-2022
Guillaume Gillet,31952,,,"Mar 9, 1984",41,1.86,Belgium,,Defensive Midfield,,Retired,Waasland-Beveren,"Jul 1, 2022",,,2021-2022
Paul Onuachu,272855,€6.00m,"May 30, 2025","May 28, 1994",31,2.01,Nigeria,,Centre-Forward,,Trabzonspor,,,"Jul 1, 2025","Jun 30, 2028",2021-2022
Joseph Paintsil,534435,€8.00m,"Jun 5, 2025","Feb 1, 1998",27,1.69,Ghana,Ghana,Right Winger,"Left Winger, Attacking Midfield",LA Galaxy,,,"Feb 21, 2024","Dec 31, 2027",2021-2022
